Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
281	10997.0	False	1.03	-0.02	-0.09	0.02	-0.11	0.06	22.88	21.14
282	10997.0	False	1.03	-0.02	-0.09	-0.02	0.06	0.11	22.79	21.19
283	10996.0	False	1.03	-0.02	-0.1	-0.17	0.05	-0.03	22.71	21.19
284	10995.0	False	1.03	-0.01	-0.09	0.21	0.02	-0.06	22.79	21.19
285	10997.0	False	1.03	-0.02	-0.1	0.06	-0.02	0.11	22.79	21.14
286	10995.0	False	1.04	-0.02	-0.09	0.05	-0.03	0.03	22.79	21.23
287	10996.0	False	1.02	-0.02	-0.08	0.09	-0.17	0.15	22.71	21.28
288	10998.0	False	1.03	-0.02	-0.09	0.03	0.06	-0.02	22.88	21.14
289	10999.0	False	1.03	-0.03	-0.09	-0.06	0.02	0.02	22.79	21.28
290	10998.0	False	1.03	-0.02	-0.09	-0.08	0.09	0.21	22.88	21.19
291	10999.0	False	1.03	-0.02	-0.1	0.08	0.05	-0.09	22.79	21.04
292	10997.0	False	1.03	-0.02	-0.08	0.02	0.06	-0.05	22.79	21.19
293	10998.0	False	1.03	-0.02	-0.08	0.02	0.05	-0.06	22.79	21.14
294	10997.0	False	1.03	-0.02	-0.09	0.05	0.06	0.08	22.71	21.09
295	10997.0	False	1.02	-0.02	-0.09	0.11	0.09	-0.12	22.71	21.14
296	9413.0	False	1.03	-0.02	-0.09	0.0	-0.17	0.03	22.79	21.19
297	10998.0	False	1.03	-0.02	-0.09	0.02	-0.06	-0.02	22.79	21.14
298	10999.0	False	1.03	-0.02	-0.09	-0.02	0.06	-0.08	22.79	21.33
299	10999.0	False	1.03	-0.02	-0.09	-0.11	0.15	-0.21	22.79	21.09
300	10998.0	False	1.02	-0.03	-0.09	-0.08	0.12	0.02	22.88	21.19
301	10999.0	False	1.03	-0.02	-0.08	-0.02	-0.09	-0.03	22.79	21.19
302	10999.0	False	1.03	-0.02	-0.09	-0.05	-0.15	-0.15	22.79	21.19
303	10999.0	False	1.03	-0.02	-0.09	0.02	0.17	0.03	22.79	21.14
304	10999.0	False	1.03	-0.02	-0.09	0.15	-0.05	-0.12	22.71	21.23
305	10999.0	False	1.02	-0.02	-0.1	0.03	-0.14	0.17	22.79	21.19
306	10823.0	False	1.03	-0.02	-0.08	0.0	-0.17	0.08	22.79	21.14
307	10999.0	False	1.03	-0.02	-0.09	-0.08	0.03	-0.23	22.79	21.14
