Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
16.070,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.080,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.090,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.100,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.110,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.120,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.130,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.140,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.150,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.160,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.170,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.180,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.190,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.200,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.210,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.220,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.230,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.240,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.250,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.260,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.270,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.280,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.290,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.300,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.310,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.320,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.330,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.340,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.350,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.360,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.370,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.380,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.390,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.400,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.410,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.420,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.430,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.440,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.450,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.460,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.470,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.480,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.490,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.500,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.510,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.520,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.530,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.540,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.550,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.560,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.570,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.580,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.590,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.600,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.610,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.620,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.630,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.640,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.650,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.660,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.670,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.680,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.690,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.700,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.710,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.720,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.730,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.740,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.750,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.760,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.770,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.780,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.790,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.800,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.810,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.820,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.830,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.840,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.850,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.860,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.870,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.880,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.890,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.900,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.910,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.920,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.930,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.940,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.950,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.960,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.970,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.980,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.990,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.00,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.010,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.020,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.030,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.040,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.050,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.060,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.070,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.080,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.090,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.100,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.110,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.120,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.130,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.140,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.150,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.160,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.170,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.180,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.190,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.200,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.210,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.220,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.230,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.240,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.250,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.260,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.270,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.280,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.290,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.300,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.310,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.320,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.330,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.340,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.350,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.360,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.370,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.380,1150.0,True,0,0,0,0,0,0,23.75294117647059
17.390,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
17.400,1150.0,True,0,0,0,0,0,0,23.75294117647059
